SL_PWM,U,SL_position,SL_speed,ARM_position,Sprung_acceleration_x
-815.94,98.25,89.47,2.63,0.09,6.13
815.94,100.81,89.04,-0.03,0.09,2.02
815.94,97.07,91.74,1.73,0,2.01
815.94,93.49,91.67,1.02,-0.09,0.16
815.94,91.99,91.59,-0.61,-0.09,-0.56
-815.94,89.52,92.56,1.12,0,1.91
815.94,91.72,90.64,1.12,0,1.91
-815.94,92.56,92.62,-1.66,0.09,0.39
815.94,91.96,91.25,1.77,0.18,0.38
815.94,90.85,91.97,-1.39,0.18,-0.38
815.94,88.77,91.26,1.15,0.27,1.13
815.94,90.89,90.83,-1.56,0.27,-0.85
-815.94,90.74,91.78,0.78,0.18,0.57
815.94,90.43,90.69,-0.66,0.09,-1.12
-815.94,88.48,91.39,0.63,0,-0.38
815.94,88.76,90.77,-0.91,-0.18,-2.05
815.94,86.25,90.18,0.7,-0.27,-2.57
-815.94,86.16,90.37,-1.24,-0.27,-1.56
815.94,86.5,88.9,-0.21,-0.54,-2.76
-815.94,83.85,89.8,0.19,-0.63,-5.89
815.94,79.85,87.36,-1.62,-0.54,-4.15
-815.94,79.3,87.64,0.05,-0.45,-1.86
815.94,83.9,84.97,-2.25,0,-0.96
-815.94,87,86.75,1.07,0,3.31
815.94,90.93,85.51,-0.68,0.27,6.61
815.94,96.69,86.63,-0.68,0.27,6.61
-815.94,99.76,89.73,0.86,0.18,6.01
815.94,99.46,89.88,2.33,0.09,3.5
-815.94,93.25,91.89,0.47,-0.09,0.44
815.94,89.47,90.72,1.04,0,0.47
815.94,90.52,90.98,-0.28,0,-0.61
815.94,90.74,91.1,-0.53,0,0.44
815.94,90.65,90.46,0.83,0.09,1.69
-815.94,92.12,91.57,-0.77,0.09,0.14
815.94,91.01,90.85,0.33,0.18,0.05
815.94,90.3,91,0.56,0.09,1.32
-815.94,92.3,91.51,-0.7,0.18,0.88
815.94,90.91,90.94,0.1,0.09,-1.07
815.94,88.42,90.99,0.59,0.09,-1.09
-815.94,88.15,91.23,-0.56,0,-1.22
815.94,87.79,89.77,-0.92,-0.09,-3.21
-815.94,87.15,90.45,0.64,-0.18,-3.52
815.94,84.72,89.29,-1.22,-0.18,-1.59
815.94,84.41,88.62,-0.23,-0.27,-0.26
815.94,87.96,88.42,-0.23,-0.45,-0.26
815.94,87.64,88.15,-0.31,-0.63,-3.72
-815.94,85.07,88.56,-0.49,-0.45,-2.25
815.94,84.49,87.07,0.76,-0.36,-2
815.94,86.37,87.1,-1.85,0,-1.7
-815.94,85.97,87.35,1.09,-0.09,2.24
815.94,89.38,86.18,-1.24,0.18,5.3
-815.94,94.39,89.11,0.46,0.18,6.02
815.94,101.24,88.98,2.01,0.18,6.01
815.94,95.96,91.12,0.24,0,0.76
-815.94,91.55,92.21,2.57,-0.09,1.47
815.94,90.51,91.29,-1.32,-0.09,-0.62
-815.94,90.25,92.4,1.1,-0.09,1.32
815.94,92.59,90.74,-1.42,0,-0.52
-815.94,89.65,92.58,1.13,0,0.8
815.94,90.38,90.44,-1.1,0.18,0.14
815.94,90.66,91.55,0.25,0.18,1.82
815.94,91.84,90.75,-0.06,0.18,0.02
815.94,92.83,91.3,0.07,0.18,0.15
-815.94,90.1,91.76,0.07,0.18,0.15
815.94,90.1,90.63,0.43,0.09,-0.78
-815.94,87.64,91.66,-0.69,-0.09,-1.71
815.94,86.81,89.62,0.29,-0.18,-3.15
-815.94,84.65,90.58,-1.11,-0.18,-4.75
815.94,83.51,88.14,0.05,-0.18,-3.1
-815.94,83.14,88.97,-1.25,-0.45,-1.36
815.94,84.95,86.89,-0.31,-0.45,-6.76
-815.94,79.16,88.32,-0.49,-0.54,-4.84
815.94,80.35,85.4,0.08,-0.27,-4.75
815.94,82,85.53,-2.27,0,-1.65
815.94,90.43,84.92,1.12,0,4.12
815.94,96.51,84.49,-1.74,0.36,3.32
815.94,96.07,88.12,2.16,0.27,5.48
815.94,98.88,88.3,1.99,0.18,6.44
815.94,98.78,88.86,-0.52,0.18,-0.21
-815.94,95.73,92.36,2.77,0,1.16
815.94,91.81,91.06,-0.27,0,0.93
815.94,90.84,91.5,-0.03,0,2.23
815.94,92.18,91.81,-0.03,0,2.23
815.94,94.97,91.16,0.3,0.09,0.9
-815.94,91.55,92.74,-0.28,0.09,0.38
815.94,91.42,92.01,1.17,0.18,1.12
815.94,92.23,91.81,-0.07,0.18,1.04
-815.94,92.34,92.65,-0.51,0.18,-0.04
815.94,91.79,92.11,0.35,0.09,0.34
815.94,90.99,91.63,0.31,0.09,-0.43
-815.94,89.52,92.13,-0.62,0,-0.82
815.94,89.31,90.99,-0.56,-0.18,-0.69
-815.94,88.25,91.36,0.53,-0.27,-1.72
815.94,86.15,90.71,-1.24,-0.36,-4.54
815.94,83.88,89.77,0.51,-0.45,-1.06
-815.94,85.61,89.79,-1.41,-0.63,-5.14
815.94,81.76,88.1,-0.39,-0.63,-6.01
-815.94,80.2,88.24,-0.27,-0.54,-4.62
815.94,79.73,85.81,-2.03,-0.27,-2.57
-815.94,82.38,86.28,0.4,0,2.24
815.94,88.21,84.69,-1.52,0.27,3.72
-815.94,93.94,87.2,-1.52,0.18,3.72
815.94,97.85,86.61,2.07,0.27,6.04
815.94,100.35,88.65,-0.44,0.18,7.75
-815.94,97.97,91.78,2.14,0,1.01
815.94,92.23,90.43,1.84,0,0.6
-815.94,89.92,91.86,-0.6,-0.09,0.04
815.94,90.26,90.2,0.32,0,1.63
-815.94,92.43,91.93,-0.44,0,0.18
815.94,91.76,90.58,0.63,0.09,0.88
-815.94,90.69,92.13,-0.25,0.09,0.56
815.94,91.64,90.6,0.33,0.18,0.71
-815.94,90.75,91.97,-0.35,0.18,0.02
815.94,90.74,90.57,0.35,0.18,0.07
815.94,89.47,91.57,-0.5,0.09,-0.97
815.94,88.62,90.36,0.23,0.09,-2.44
815.94,87.7,90.9,-0.59,-0.09,-2.58
815.94,85.74,89.69,-0.18,-0.18,-3.23
-815.94,85.44,89.95,-0.44,-0.18,-3.8
815.94,83.78,88.34,-0.98,-0.27,-0.49
-815.94,85.6,88.89,-0.98,-0.54,-0.49
