SL_PWM,U,SL_position,SL_speed,ARM_position,Distance,Sprung_acceleration_x
-815.94,90.00,90.12,0.00,-5.31000,0.00000,10.08
815.94,119.71,90.14,0.40,0.00000,17.54760,-0.15
815.94,119.71,92.40,0.89,0.00000,17.54760,-0.17
815.94,119.71,95.88,3.21,-0.18000,17.56480,0.34
815.94,119.71,99.92,4.22,-0.27000,17.56480,1.10
815.94,119.71,104.54,4.22,-0.36000,45.03320,1.10
815.94,119.71,109.27,4.93,-0.54000,17.54760,-0.03
815.94,119.71,114.49,5.59,-0.72000,17.20360,0.22
-815.94,119.71,119.97,5.89,-0.99000,18.18400,0.72
-815.94,120.86,121.09,3.40,-1.26000,17.87440,0.51
815.94,120.86,117.68,3.40,-1.44000,17.87440,0.51
815.94,120.86,116.43,-3.25,-1.62000,17.54760,-0.32
815.94,120.86,117.77,-0.67,-1.80000,17.54760,-0.56
815.94,120.86,120.47,2.29,-1.98000,18.52800,0.35
-815.94,120.86,121.70,2.58,-2.16000,18.52800,0.64
815.94,120.86,119.81,2.58,-2.34000,41.11160,0.64
815.94,120.86,120.15,-1.81,-2.52000,17.87440,-0.50
-815.94,120.86,121.69,1.00,-2.61000,17.87440,-0.96
-815.94,89.43,119.68,-0.12,-2.61000,17.90880,-0.72
-815.94,89.43,114.21,-5.22,-2.43000,17.90880,-1.38
-815.94,89.43,105.94,-5.22,-1.80000,1.94720,-1.38
-815.94,89.43,116.44,-5.22,0.36000,1.94720,-1.38
-815.94,65.85,131.26,-5.22,2.97000,1.94720,-1.38
-815.94,65.85,131.26,1.38,0.00000,17.22080,0.46
-815.94,65.85,122.80,-9.31,-0.81000,17.51320,-2.24
-815.94,65.85,108.26,-7.72,-2.70000,18.49360,0.45
-815.94,93.93,98.62,-8.76,-3.60000,18.54520,-3.40
-815.94,93.93,95.32,-8.76,-4.68000,18.54520,-3.40
-815.94,66.98,106.27,-8.76,3.51000,18.54520,-3.40
-815.94,62.49,105.98,0.37,0.72000,17.58200,3.29
-815.94,62.49,97.10,-9.22,-0.36000,17.90880,1.91
-815.94,62.49,88.82,-6.40,-1.62000,17.85720,1.50
-815.94,62.49,83.35,-6.40,-2.88000,17.85720,1.50
-815.94,62.49,74.10,-5.91,-3.87000,18.52800,2.17
-815.94,62.49,65.13,-8.68,-4.41000,18.85480,1.39
-815.94,60.24,81.02,-8.68,-5.31000,18.85480,1.39
-815.94,74.56,82.29,-8.68,3.60000,18.85480,1.39
-815.94,74.56,83.98,0.60,0.72000,18.85480,-1.68
-815.94,98.28,75.04,0.60,-0.36000,80.19000,-1.68
-815.94,98.28,70.01,-6.82,-1.26000,80.19000,1.08
-815.94,98.28,61.78,-6.82,-2.16000,1.50000,1.08
