SL_PWM,U,SL_position,SL_speed,ARM_position,Distance,Sprung_acceleration_x
0.00,90.00,0.00,0.00,0.00000,0.00000,9.99
756.00,90.00,0.02,0.00,0.00000,0.00000,-0.16
756.00,90.00,0.45,0.88,0.00000,16.17160,-0.10
756.00,90.00,1.33,1.84,0.09000,16.17160,0.03
756.00,90.00,2.60,2.70,0.09000,16.17160,-0.14
785.00,90.00,4.16,3.37,0.18000,16.17160,-0.56
785.00,90.00,6.03,3.98,0.27000,16.17160,-1.14
785.00,90.00,8.16,4.55,0.36000,16.17160,-1.22
785.00,90.00,11.10,5.53,0.45000,16.17160,-1.05
-15.00,90.00,14.27,6.04,0.54000,16.53280,-2.12
-15.00,90.00,17.49,6.23,0.72000,15.10520,-0.70
-15.00,90.00,20.61,6.15,0.72000,15.10520,0.81
-15.00,90.00,23.64,5.93,0.81000,15.46640,1.22
-415.00,90.00,26.51,5.59,0.81000,15.46640,2.72
-415.00,90.00,29.07,5.59,0.81000,14.03880,2.72
-415.00,90.00,30.46,5.67,0.81000,15.46640,2.88
-415.00,90.00,31.65,4.28,0.72000,15.46640,1.70
-415.00,90.00,33.58,3.81,0.72000,15.46640,0.27
-615.00,90.00,35.08,3.31,0.72000,15.46640,0.28
-615.00,90.00,36.17,2.48,0.63000,15.46640,0.25
-615.00,90.00,36.70,1.25,0.63000,15.46640,-0.25
-615.00,90.00,36.79,0.22,0.63000,15.46640,-0.44
-615.00,90.00,36.57,-0.43,0.63000,15.44920,-0.35
100.00,90.00,36.14,-0.93,0.63000,15.46640,-0.86
100.00,90.00,35.71,-0.96,0.63000,15.44920,-0.64
100.00,90.00,35.30,-0.89,0.63000,15.44920,0.29
100.00,90.00,34.90,-0.88,0.63000,15.46640,0.31
-358.00,90.00,34.54,-0.76,0.63000,15.46640,-0.05
-358.00,90.00,34.18,-0.80,0.63000,15.46640,0.16
-358.00,90.00,33.84,-0.74,0.63000,15.46640,-0.02
-358.00,90.00,33.50,-0.74,0.72000,15.46640,-0.21
-587.00,90.00,33.17,-0.73,0.72000,15.46640,0.05
-587.00,90.00,32.80,-0.77,0.72000,15.46640,0.05
-587.00,90.00,32.31,-1.06,0.72000,15.44920,-0.20
-587.00,90.00,31.72,-1.28,0.72000,15.46640,-0.17
-587.00,90.00,31.03,-1.48,0.72000,15.44920,0.02
-701.00,90.00,30.24,-1.68,0.72000,15.46640,0.03
-701.00,90.00,29.18,-2.26,0.72000,15.46640,0.04
-701.00,90.00,27.87,-2.80,0.72000,15.46640,0.00
-701.00,90.00,26.33,-3.34,0.81000,15.46640,0.01
-758.00,90.00,24.58,-3.74,0.81000,15.46640,0.12
-758.00,90.00,22.62,-4.20,0.81000,15.44920,0.17
-758.00,90.00,20.43,-4.66,0.81000,15.46640,-0.13
-758.00,90.00,17.58,-5.51,0.81000,15.44920,-0.07
28.00,90.00,14.53,-5.86,0.72000,15.46640,0.92
28.00,90.00,11.50,-5.92,0.72000,15.46640,-0.15
28.00,90.00,8.67,-5.52,0.72000,15.46640,0.54
28.00,90.00,6.11,-5.05,0.63000,15.44920,1.17
-394.00,90.00,4.13,-4.32,0.54000,15.44920,0.16
-394.00,90.00,2.35,-3.94,0.54000,15.46640,0.01
-394.00,90.00,0.76,-3.54,0.45000,15.46640,0.84
-394.00,90.00,-0.63,-3.04,0.36000,15.10520,1.42
-394.00,90.00,-1.78,-2.58,0.27000,15.10520,1.28
210.00,90.00,-2.70,-2.05,0.18000,15.10520,0.77
210.00,90.00,-3.37,-1.47,0.09000,15.10520,0.37
210.00,90.00,-3.77,-0.91,0.00000,16.51560,-0.63
210.00,90.00,-3.95,-0.42,0.00000,16.17160,-1.14
513.00,90.00,-3.96,-0.04,0.00000,16.17160,-1.38
513.00,90.00,-3.88,0.15,-0.09000,16.17160,-1.74
513.00,90.00,-3.74,0.31,-0.09000,16.17160,-1.45
513.00,90.00,-3.52,0.47,-0.09000,16.17160,-0.49
664.00,90.00,-3.20,0.68,0.00000,16.17160,0.04
664.00,90.00,-2.74,0.97,0.00000,16.17160,0.24
664.00,90.00,-1.98,1.61,0.00000,16.17160,0.07
664.00,90.00,-0.96,2.17,0.00000,16.17160,-0.21
664.00,90.00,0.23,2.61,0.09000,16.17160,-0.27
-76.00,90.00,1.63,2.97,0.09000,16.17160,-0.07
-76.00,90.00,2.97,2.94,0.18000,16.17160,-0.34
-76.00,90.00,4.28,2.85,0.18000,16.17160,-0.59
-76.00,90.00,5.51,2.72,0.27000,16.17160,-0.71
-446.00,90.00,6.70,2.63,0.36000,16.17160,-0.69
-446.00,90.00,7.82,2.43,0.36000,16.51560,-0.47
-446.00,90.00,8.86,2.29,0.45000,15.10520,-0.45
-446.00,90.00,9.82,2.12,0.54000,15.10520,0.04
-446.00,90.00,10.72,1.94,0.54000,15.10520,0.39
184.00,90.00,11.53,1.79,0.63000,15.10520,0.44
184.00,90.00,12.30,1.69,0.63000,15.10520,0.72
184.00,90.00,13.03,1.60,0.63000,15.10520,0.74
184.00,90.00,13.73,1.50,0.63000,15.10520,0.58
500.00,90.00,14.37,1.42,0.63000,15.46640,0.38
500.00,90.00,15.01,1.39,0.72000,15.46640,0.25
500.00,90.00,15.65,1.39,0.72000,15.46640,0.17
500.00,90.00,16.28,1.36,0.72000,15.46640,0.04
657.00,90.00,16.89,1.34,0.72000,15.46640,-0.06
657.00,90.00,17.63,1.55,0.72000,15.46640,-0.04
657.00,90.00,18.56,2.00,0.72000,15.46640,-0.10
657.00,90.00,19.65,2.36,0.72000,15.44920,-0.05
657.00,90.00,20.87,2.64,0.72000,15.46640,-0.09
-79.00,90.00,22.16,2.81,0.72000,15.46640,-0.10
-79.00,90.00,23.36,2.63,0.72000,15.46640,0.23
-79.00,90.00,24.48,2.47,0.72000,15.46640,0.42
-79.00,90.00,25.51,2.26,0.72000,15.44920,0.18
-447.00,90.00,26.44,2.06,0.72000,15.46640,0.02
-447.00,90.00,27.25,1.79,0.72000,15.46640,-0.12
-447.00,90.00,27.92,1.48,0.72000,15.44920,-0.14
-447.00,90.00,28.46,1.20,0.72000,15.46640,0.09
-632.00,90.00,28.86,0.88,0.72000,15.46640,0.17
-632.00,90.00,29.01,0.38,0.72000,15.46640,0.03
-632.00,90.00,28.79,-0.42,0.72000,15.46640,-0.07
-632.00,90.00,28.36,-0.93,0.72000,15.46640,0.07
-632.00,90.00,27.69,-1.42,0.72000,15.46640,0.07
-724.00,90.00,26.84,-1.81,0.72000,15.46640,-0.15
-724.00,90.00,25.65,-2.53,0.72000,15.46640,-0.06
-724.00,90.00,24.21,-3.09,0.72000,15.46640,-0.08
-724.00,90.00,22.54,-3.61,0.72000,15.46640,0.01
-770.00,90.00,20.65,-4.02,0.72000,15.46640,0.05
-770.00,90.00,18.53,-4.55,0.72000,15.46640,-0.11
-770.00,90.00,15.68,-5.40,0.72000,15.46640,0.25
-770.00,90.00,12.65,-5.81,0.72000,15.46640,-0.07
-793.00,90.00,9.36,-6.22,0.72000,15.46640,-0.80
-793.00,90.00,5.97,-6.55,0.63000,15.46640,1.24
-793.00,90.00,2.43,-6.77,0.54000,15.44920,0.65
-793.00,90.00,-1.16,-6.92,0.45000,15.46640,-0.20
11.00,90.00,-4.64,-6.88,0.18000,15.46640,3.35
11.00,90.00,-7.88,-6.47,0.09000,15.10520,1.60
11.00,90.00,-10.78,-5.75,0.00000,15.10520,1.49
11.00,90.00,-13.28,-4.90,-0.27000,16.17160,1.78
-402.00,90.00,-15.06,-3.95,-0.45000,15.81040,-0.13
-402.00,90.00,-16.59,-3.39,-0.63000,15.81040,0.65
-402.00,90.00,-17.83,-2.76,-0.81000,15.46640,0.63
-402.00,90.00,-18.81,-2.19,-0.99000,15.46640,-0.62
206.00,90.00,-19.51,-1.56,-1.17000,16.53280,-0.43
206.00,90.00,-19.94,-0.98,-1.35000,16.53280,-0.44
206.00,90.00,-20.09,-0.36,-1.44000,16.17160,-0.99
206.00,90.00,-20.05,0.07,-1.53000,15.81040,-1.52
206.00,90.00,-19.96,0.20,-1.62000,15.81040,-1.91
-305.00,90.00,-19.80,0.34,-1.62000,15.81040,-2.35
-305.00,90.00,-19.61,0.42,-1.62000,15.81040,-2.68
-305.00,90.00,-19.36,0.53,-1.62000,15.81040,-1.47
-305.00,90.00,-19.09,0.59,-1.62000,15.81040,-0.07
255.00,90.00,-18.83,0.57,-1.62000,15.81040,0.55
255.00,90.00,-18.53,0.66,-1.62000,15.81040,0.32
255.00,90.00,-18.17,0.77,-1.53000,15.81040,-0.11
255.00,90.00,-17.79,0.82,-1.53000,15.81040,-0.35
255.00,90.00,-17.36,0.93,-1.53000,15.81040,-0.11
-280.00,90.00,-16.93,0.93,-1.53000,15.81040,-0.00
-280.00,90.00,-16.50,0.96,-1.44000,15.81040,0.03
-280.00,90.00,-16.10,0.87,-1.44000,15.81040,0.03
-280.00,90.00,-15.70,0.88,-1.44000,15.81040,-0.06
-548.00,90.00,-15.35,0.77,-1.35000,15.81040,-0.18
-548.00,90.00,-15.13,0.51,-1.35000,15.81040,-0.17
-548.00,90.00,-15.04,0.20,-1.35000,15.81040,-0.12
-548.00,90.00,-15.08,-0.08,-1.35000,15.81040,0.05
-682.00,90.00,-15.16,-0.17,-1.35000,15.81040,0.21
-682.00,90.00,-15.34,-0.39,-1.35000,15.81040,0.31
-682.00,90.00,-15.77,-0.88,-1.35000,15.81040,0.47
-682.00,90.00,-16.38,-1.31,-1.35000,15.81040,0.40
-682.00,90.00,-17.15,-1.64,-1.44000,15.81040,0.13
66.00,90.00,-17.94,-1.77,-1.44000,15.81040,0.15
66.00,90.00,-18.50,-1.26,-1.44000,15.81040,-0.01
66.00,90.00,-18.82,-0.73,-1.53000,15.82760,0.09
66.00,90.00,-18.87,-0.12,-1.53000,15.81040,-0.13
441.00,90.00,-18.77,0.20,-1.53000,15.81040,-0.30
441.00,90.00,-18.50,0.55,-1.44000,15.81040,-0.41
441.00,90.00,-18.13,0.80,-1.44000,15.81040,-0.06
441.00,90.00,-17.68,0.97,-1.44000,15.81040,0.02
-188.00,90.00,-17.15,1.15,-1.44000,15.81040,-0.04
-188.00,90.00,-16.58,1.26,-1.44000,15.81040,-0.08
-188.00,90.00,-16.01,1.23,-1.35000,15.81040,-0.14
-188.00,90.00,-15.45,1.22,-1.35000,15.81040,-0.14
-188.00,90.00,-14.90,1.21,-1.35000,15.81040,-0.03
314.00,90.00,-14.38,1.12,-1.26000,15.81040,-0.07
314.00,90.00,-13.84,1.19,-1.26000,15.81040,-0.24
