SL_PWM,SL_position
Calculating offsets, do not move MPU6050
815.94,62.66
815.94,62.77
815.94,62.89
815.94,63.02
815.94,63.16
815.94,63.30
815.94,63.46
815.94,63.62
815.94,63.78
815.94,63.97
815.94,64.15
815.94,64.34
815.94,64.56
815.94,64.77
-815.94,64.98
-815.94,65.31
-815.94,65.44
-815.94,65.54
-815.94,65.62
-815.94,65.67
-815.94,65.70
-815.94,65.71
-815.94,65.69
-815.94,65.66
-815.94,65.61
-815.94,65.54
-815.94,65.45
-815.94,65.34
-815.94,65.21
-815.94,65.07
-815.94,64.90
-815.94,64.72
-815.94,64.67
-815.94,64.32
-815.94,64.09
-815.94,63.59
-815.94,63.02
-815.94,62.40
-815.94,61.74
-815.94,60.99
-815.94,60.21
-815.94,59.40
-815.94,58.53
-815.94,57.59
-815.94,56.65
-815.94,55.68
-815.94,54.89
-815.94,53.85
-815.94,52.75
-815.94,51.58
-815.94,50.44
-815.94,49.24
-815.94,48.03
-815.94,46.79
-815.94,45.52
-815.94,44.24
-815.94,42.91
-815.94,41.57
-815.94,40.20
-815.94,38.83
-815.94,37.42
-815.94,35.99
-815.94,34.55
-815.94,33.05
-815.94,31.60
-815.94,30.09
-815.94,28.66
-815.94,27.13
-815.94,25.66
-815.94,24.08
-815.94,22.67
-815.94,21.13
-815.94,19.72
-815.94,18.26
-815.94,16.77
-815.94,15.40
-815.94,13.94
-815.94,12.49
-815.94,11.03
-815.94,9.66
-815.94,8.26
-815.94,6.80
-815.94,5.31
-815.94,3.14
-815.94,0.92
-815.94,-1.39
-815.94,-3.69
-815.94,-5.88
-815.94,-8.35
-815.94,-10.73
-815.94,-14.07
-815.94,-17.34
815.94,-20.30
815.94,-22.21
815.94,-23.65
815.94,-25.12
815.94,-26.58
815.94,-27.89
815.94,-29.15
815.94,-30.32
815.94,-31.41
815.94,-32.44
815.94,-33.34
815.94,-34.14
815.94,-34.88
815.94,-35.54
815.94,-36.10
815.94,-36.56
815.94,-36.78
815.94,-36.83
815.94,-37.12
815.94,-37.27
815.94,-37.39
815.94,-37.49
815.94,-37.56
815.94,-37.62
815.94,-37.66
815.94,-37.68
815.94,-37.69
815.94,-37.67
815.94,-37.64
815.94,-37.60
815.94,-37.53
815.94,-37.45
815.94,-37.35
815.94,-37.24
815.94,-37.10
815.94,-36.96
815.94,-36.79
815.94,-36.62
815.94,-36.42
815.94,-36.36
815.94,-36.00
815.94,-35.53
815.94,-35.00
815.94,-34.43
815.94,-33.83
815.94,-33.17
815.94,-32.46
815.94,-31.72
815.94,-30.94
815.94,-30.10
815.94,-29.26
815.94,-28.38
815.94,-27.47
815.94,-26.51
815.94,-25.51
815.94,-24.48
815.94,-23.40
815.94,-22.35
815.94,-21.23
815.94,-20.07
815.94,-18.93
815.94,-17.72
-815.94,-16.53
-815.94,-15.41
-815.94,-14.44
-815.94,-13.66
-815.94,-12.85
-815.94,-12.12
-815.94,-11.51
-815.94,-10.97
-815.94,-10.52
-815.94,-10.18
-815.94,-10.04
-815.94,-9.92
-815.94,-9.83
-815.94,-9.75
-815.94,-9.69
-815.94,-9.66
-815.94,-9.64
-815.94,-9.64
-815.94,-9.66
-815.94,-9.69
-815.94,-9.75
-815.94,-9.81
-815.94,-9.90
-815.94,-10.00
-815.94,-10.11
-815.94,-10.24
-815.94,-10.39
-815.94,-10.73
-815.94,-11.12
-815.94,-11.56
-815.94,-12.06
-815.94,-12.62
-815.94,-13.22
-815.94,-13.88
-815.94,-14.57
-815.94,-15.30
-815.94,-16.10
-815.94,-16.92
-815.94,-17.77
-815.94,-18.69
-815.94,-19.66
-815.94,-20.66
-815.94,-21.68
-815.94,-22.74
-815.94,-23.80
-815.94,-24.96
-815.94,-26.10
-815.94,-27.25
-815.94,-28.30
-815.94,-29.55
-815.94,-30.78
-815.94,-32.04
-815.94,-33.31
-815.94,-34.59
