CONTROLLER_FLAG,SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
100,457.47,47.59,-1.53,79.88,-1.53,-0.05184,0.48620,-0.00263,-0.02579,0.00325,0.01393,0.00181,8.07,-0.73,8.94
100,-153.04,98.80,4.02,76.37,4.02,-0.06440,-0.14960,-0.00374,-0.02650,0.00161,-0.03891,-0.00201,-0.13,-0.36,12.48
100,800.78,64.40,-2.33,72.21,-2.33,-0.05341,-0.22440,-0.00202,0.04100,0.00257,0.02278,0.00041,-6.43,-0.16,8.46
100,405.36,107.21,-0.97,80.63,-0.97,-0.05812,0.21918,-0.00239,-0.00881,0.00297,0.00951,0.00003,3.28,-0.37,8.88
100,-247.76,68.60,3.39,84.55,3.39,-0.06912,-0.11220,-0.00338,-0.02371,0.00159,-0.03296,-0.00067,-0.35,0.37,10.75
100,800.78,109.31,1.60,80.65,1.60,-0.06912,-0.30650,-0.00302,0.00877,0.00094,-0.01547,0.00112,-1.37,0.19,9.09
100,800.78,129.66,-1.66,87.10,-1.66,-0.07226,0.07480,-0.00258,0.01063,0.00163,0.01682,-0.00136,0.30,-0.47,9.77
100,800.78,139.84,3.12,100.44,3.12,-0.08168,-0.10959,-0.00348,-0.02083,0.00035,-0.02968,0.00021,1.52,0.32,10.10
100,-800.78,84.91,5.81,112.59,5.81,-0.09582,-0.22440,-0.00510,-0.03860,-0.00203,-0.05658,0.00067,0.16,0.33,9.57
100,800.78,117.46,4.66,99.53,4.66,-0.10524,-0.34481,-0.00575,-0.01593,-0.00381,-0.04343,0.00067,0.14,-0.06,9.12
100,578.80,73.73,-5.50,101.00,-5.50,-0.09896,-0.18265,-0.00286,0.06872,-0.00153,0.05415,-0.00089,-6.98,-0.59,7.04
100,-800.78,51.86,1.04,96.50,1.04,-0.09739,0.11220,-0.00371,-0.02022,-0.00201,-0.01142,-0.00045,3.19,0.28,6.89
100,800.78,40.93,-2.72,73.15,-2.72,-0.06597,0.07306,-0.00280,0.02114,-0.00086,0.02693,-0.00023,-4.19,-0.64,11.59
100,97.93,92.74,-9.44,68.45,-9.44,-0.03456,0.76713,-0.00149,0.03061,0.00310,0.09203,0.00405,-4.25,-1.77,13.41
100,800.78,121.38,-1.47,71.45,-1.47,-0.04084,0.68962,-0.00325,-0.04295,0.00367,0.01383,-0.00056,9.26,0.27,4.86
100,800.78,75.68,1.44,82.72,1.44,-0.05812,-0.14612,-0.00331,-0.00139,0.00309,-0.01389,-0.00313,-0.06,-1.19,10.43
100,-500.33,112.85,4.92,86.60,4.92,-0.07697,-0.44880,-0.00377,-0.01109,0.00107,-0.04803,0.00179,0.40,0.28,11.11
100,800.78,71.42,0.94,83.77,0.94,-0.07226,-0.41140,-0.00272,0.02516,0.00073,-0.00803,-0.00022,-4.06,0.67,7.76
100,-371.04,110.72,-0.64,90.38,-0.64,-0.07697,0.11220,-0.00283,-0.00262,0.00100,0.00639,-0.00179,1.12,0.24,10.27
100,800.78,130.37,2.57,90.70,2.57,-0.08011,-0.11220,-0.00350,-0.01603,-0.00005,-0.02504,0.00000,-0.59,-0.39,10.87
100,721.55,80.18,0.33,99.52,0.33,-0.08482,-0.07480,-0.00339,0.00259,-0.00020,-0.00339,-0.00022,2.01,0.39,10.66
100,-800.78,55.08,3.99,97.76,3.99,-0.09268,-0.11220,-0.00462,-0.02936,-0.00180,-0.03832,0.00022,0.50,-0.07,10.34
100,800.78,42.54,-1.66,78.03,-1.66,-0.07226,-0.18265,-0.00329,0.03094,-0.00110,0.01646,0.00041,-0.69,1.17,10.12
100,-800.78,36.27,-7.95,75.32,-7.95,-0.05184,0.56100,-0.00189,0.03354,0.00219,0.07836,0.00226,-5.24,-0.41,10.94
100,736.71,33.13,-1.04,59.81,-1.04,-0.04398,0.41140,-0.00287,-0.02334,0.00262,0.01013,-0.00089,8.22,-0.32,7.13
100,800.78,91.57,-6.85,57.15,-6.85,-0.02827,0.22440,-0.00107,0.04280,0.00521,0.06166,-0.00112,-4.32,-0.97,11.80
100,800.78,120.79,-0.48,68.31,-0.48,-0.03456,0.32877,-0.00211,-0.02485,0.00535,0.00331,0.00070,6.39,1.18,8.06
100,800.78,135.40,4.91,84.40,4.91,-0.05498,-0.18700,-0.00328,-0.02784,0.00351,-0.04390,-0.00089,0.69,-0.88,12.86
100,800.78,142.71,6.77,102.84,6.77,-0.08168,-0.47489,-0.00434,-0.02452,0.00076,-0.06381,0.00168,-0.11,1.24,9.59
100,-433.71,146.36,7.76,119.86,7.76,-0.11153,-0.62101,-0.00545,-0.02590,-0.00250,-0.07595,0.00085,1.16,1.10,8.73
100,800.78,148.19,6.75,122.02,6.75,-0.13666,-0.71060,-0.00565,-0.00489,-0.00508,-0.06140,0.00054,-0.45,-1.71,11.32
100,538.99,149.56,0.68,130.39,0.68,-0.14294,-0.56100,-0.00406,0.03790,-0.00533,-0.00577,-0.00089,-5.56,0.31,9.38
100,-103.14,149.79,3.92,136.38,3.92,-0.14923,-0.14960,-0.00482,-0.01807,-0.00660,-0.03042,-0.00246,1.88,-0.09,8.91
100,797.23,149.90,2.12,137.28,2.12,-0.15237,-0.15325,-0.00494,-0.00288,-0.00723,-0.01531,0.00000,-0.60,-0.48,11.82
100,343.64,149.96,0.61,141.39,0.61,-0.15708,-0.10959,-0.00475,0.00460,-0.00741,-0.00423,-0.00022,1.17,0.52,10.85
100,561.86,149.99,1.64,143.06,1.64,-0.15865,-0.07662,-0.00488,-0.00333,-0.00781,-0.00979,-0.00022,-0.04,-0.24,9.91
100,676.04,150.00,0.82,144.20,0.82,-0.16022,-0.03653,-0.00496,-0.00185,-0.00803,-0.00500,-0.00023,0.63,0.11,9.26
100,-800.78,90.00,0.37,146.15,0.37,-0.16179,-0.03831,-0.00493,0.00091,-0.00812,-0.00220,0.00001,-0.40,-0.07,10.41
100,-85.24,120.01,0.67,131.33,0.67,-0.15551,-0.03653,-0.00496,-0.00073,-0.00828,-0.00385,-0.00001,0.01,0.22,9.56
100,800.78,135.01,-6.76,121.20,-6.76,-0.13352,0.18265,-0.00371,0.02897,-0.00633,0.04548,0.00085,-3.93,0.36,9.86
100,261.34,82.50,-3.33,128.27,-3.33,-0.13509,0.48620,-0.00418,-0.01119,-0.00520,0.02680,0.00181,4.86,-0.78,11.02
100,-800.78,56.25,3.18,123.10,3.18,-0.14294,-0.07480,-0.00501,-0.01962,-0.00629,-0.02601,-0.00246,1.17,0.63,10.40
100,-800.78,43.12,-3.04,96.28,-3.04,-0.10681,-0.10959,-0.00360,0.03271,-0.00522,0.02491,0.00020,-5.23,0.30,7.69
100,800.78,36.55,-11.23,73.87,-11.23,-0.04712,0.85369,-0.00182,0.03870,-0.00036,0.10561,0.00406,-7.66,-0.56,10.80
100,-800.78,33.27,-7.77,73.56,-7.77,-0.03456,1.34640,-0.00315,-0.03167,0.00285,0.07661,0.00294,9.13,1.16,12.14
100,557.78,31.63,-0.07,58.67,-0.07,-0.04084,0.26180,-0.00403,-0.02095,0.00288,0.00071,-0.00648,2.26,0.77,12.32
100,326.15,30.81,-6.74,53.43,-6.74,-0.02827,-0.10959,-0.00112,0.06768,0.00542,0.05904,-0.00089,-4.37,-0.27,9.38
100,-296.55,30.40,-1.44,48.87,-1.44,-0.02513,0.29920,-0.00168,-0.01335,0.00592,0.01187,0.00113,3.28,-0.00,6.06
100,800.78,60.10,-2.41,46.63,-2.41,-0.02042,0.07480,-0.00117,0.01208,0.00671,0.01868,-0.00134,-3.58,-0.86,11.79
100,800.78,105.06,-0.37,59.73,-0.37,-0.02670,0.07480,-0.00136,-0.00441,0.00679,0.00198,0.00000,2.33,0.87,9.54
100,-422.36,67.52,5.78,73.61,5.78,-0.04241,-0.18265,-0.00263,-0.02969,0.00482,-0.04578,0.00063,0.72,0.23,9.70
100,800.78,108.77,5.43,68.40,5.43,-0.05184,-0.33660,-0.00351,-0.02079,0.00275,-0.04919,0.00092,0.32,0.37,8.86
100,800.78,129.39,-2.48,72.28,-2.48,-0.05027,-0.22440,-0.00175,0.04180,0.00374,0.02345,-0.00067,-5.74,-0.60,9.24
100,800.78,139.70,2.10,85.75,2.10,-0.05969,0.03740,-0.00271,-0.02284,0.00291,-0.01986,-0.00112,3.04,-0.07,7.20
100,800.78,144.86,5.79,102.46,5.79,-0.07697,-0.26180,-0.00415,-0.03417,0.00057,-0.05565,0.00134,0.86,1.33,8.31
100,-800.78,87.43,6.92,120.42,6.92,-0.10053,-0.39270,-0.00574,-0.03613,-0.00241,-0.06777,0.00082,2.24,0.84,10.97
100,-800.78,58.71,7.25,113.86,7.25,-0.12409,-0.56100,-0.00661,-0.02091,-0.00518,-0.06579,0.00095,0.32,-1.87,12.97
100,496.90,44.35,-3.73,86.20,-3.73,-0.09896,-0.51142,-0.00347,0.07303,-0.00374,0.03334,-0.00029,-5.93,1.06,7.95
100,800.78,97.18,-11.18,73.16,-11.18,-0.04241,0.69813,-0.00102,0.05449,0.00118,0.10932,0.00104,-6.21,-1.62,13.13
100,800.78,63.59,-4.27,78.96,-4.27,-0.02985,1.23420,-0.00351,-0.05920,0.00288,0.04067,0.00320,9.92,0.10,11.79
100,-800.78,46.79,2.61,85.61,2.61,-0.05027,0.22440,-0.00537,-0.04444,0.00179,-0.02597,-0.00603,2.72,-0.15,12.45
100,800.78,98.40,2.25,72.70,2.25,-0.05969,-0.48620,-0.00462,0.01793,0.00086,-0.02222,0.00156,0.03,0.18,8.44
100,800.78,64.20,-5.42,76.80,-5.42,-0.05498,-0.18700,-0.00181,0.06693,0.00304,0.05180,-0.00179,-5.85,0.25,9.13
100,373.04,107.11,2.21,85.61,2.21,-0.06283,0.07480,-0.00296,-0.02737,0.00214,-0.02133,-0.00067,4.75,0.36,5.97
100,-456.30,49.27,3.46,84.13,3.46,-0.07069,-0.14960,-0.00385,-0.02116,0.00074,-0.03338,0.00045,-0.31,-0.58,10.98
100,178.72,39.63,-0.81,73.20,-0.81,-0.06126,-0.14960,-0.00300,0.02019,0.00108,0.00810,-0.00000,-2.42,0.14,11.30
100,737.51,94.82,-4.83,65.17,-4.83,-0.04084,0.22440,-0.00179,0.02891,0.00306,0.04718,0.00045,-2.89,0.61,8.32
100,800.78,62.41,-2.95,70.80,-2.95,-0.04398,0.44880,-0.00219,-0.00955,0.00421,0.02747,0.00134,4.59,0.19,7.39
100,-800.78,46.20,2.71,72.81,2.71,-0.05498,-0.11220,-0.00285,-0.01575,0.00316,-0.02518,-0.00201,0.66,-0.94,10.82
100,800.78,98.11,0.11,60.83,0.11,-0.04084,-0.22440,-0.00212,0.01746,0.00312,-0.00096,0.00067,-4.94,0.22,9.19
100,800.78,124.06,-4.76,66.30,-4.76,-0.03613,0.34481,-0.00151,0.01482,0.00490,0.04349,0.00067,-1.27,0.06,8.61
100,800.78,77.03,2.62,79.96,2.62,-0.04869,0.10959,-0.00290,-0.03323,0.00389,-0.02410,-0.00134,1.99,-0.38,7.81
100,-800.78,53.51,5.87,92.09,5.87,-0.06912,-0.33660,-0.00409,-0.02834,0.00152,-0.05639,0.00134,1.41,-0.61,7.91
100,800.78,101.76,4.39,77.07,4.39,-0.07069,-0.47489,-0.00427,-0.00410,-0.00032,-0.04269,0.00089,-0.60,-0.86,11.60
100,800.78,125.89,-6.59,72.66,-6.59,-0.04869,0.03653,-0.00159,0.06230,0.00249,0.06529,-0.00262,-5.15,-0.19,11.60
100,800.78,137.95,-1.14,82.12,-1.14,-0.05184,0.48620,-0.00283,-0.02958,0.00291,0.01005,0.00269,8.49,-0.16,8.52
100,800.78,83.97,4.17,96.31,4.17,-0.07226,-0.07480,-0.00428,-0.03448,0.00120,-0.04073,-0.00246,0.21,0.33,11.80
100,170.18,116.99,6.17,113.08,6.17,-0.09896,-0.52360,-0.00503,-0.01779,-0.00133,-0.06023,0.00268,0.59,-0.99,10.13
100,542.05,133.50,7.06,114.65,7.06,-0.12252,-0.67320,-0.00553,-0.01187,-0.00408,-0.06555,0.00089,1.15,0.48,7.76
100,800.78,141.76,0.07,117.78,0.07,-0.12566,-0.48620,-0.00395,0.03744,-0.00411,-0.00058,-0.00107,-3.28,0.32,8.97
100,-800.78,85.88,1.80,123.58,1.80,-0.13195,-0.07480,-0.00438,-0.01014,-0.00478,-0.01615,-0.00253,1.58,0.15,10.26
100,800.78,117.95,1.80,108.35,1.80,-0.12095,-0.14960,-0.00453,-0.00360,-0.00543,-0.01545,0.00045,-0.62,-0.11,13.81
100,-371.08,73.97,-6.31,108.90,-6.31,-0.10838,0.29920,-0.00314,0.03303,-0.00304,0.05689,0.00089,-4.26,0.58,10.15
100,-800.78,40.99,0.52,97.07,0.52,-0.10210,0.26180,-0.00421,-0.02533,-0.00325,-0.00496,-0.00022,7.18,-0.08,6.08
100,800.78,35.49,-5.88,75.04,-5.88,-0.06440,0.18265,-0.00240,0.04196,-0.00083,0.05643,-0.00047,-6.42,-0.28,9.71
100,-186.55,92.75,-8.42,72.67,-8.42,-0.03770,0.94978,-0.00211,0.00711,0.00274,0.08489,0.00474,-1.92,-1.65,13.17
100,800.78,61.37,-0.70,73.58,-0.70,-0.04712,0.52360,-0.00367,-0.03717,0.00299,0.00587,-0.00268,8.60,1.03,6.91
100,195.55,105.69,0.68,74.28,0.68,-0.05498,-0.26180,-0.00303,0.01507,0.00271,-0.00657,-0.00156,0.31,-0.46,8.52
100,800.78,127.85,-0.23,77.32,-0.23,-0.05655,-0.14960,-0.00242,0.01451,0.00281,0.00226,-0.00067,-3.98,-0.10,11.60
100,800.78,138.93,1.93,89.75,1.93,-0.06440,-0.03740,-0.00308,-0.01566,0.00202,-0.01876,-0.00067,2.09,0.11,9.03
100,800.78,144.47,5.47,105.74,5.47,-0.08011,-0.22440,-0.00455,-0.03486,-0.00021,-0.05313,0.00112,0.97,0.07,9.82
100,-250.10,147.24,6.75,120.69,6.75,-0.10367,-0.37400,-0.00603,-0.03532,-0.00296,-0.06536,0.00089,0.35,-0.46,11.08
100,-800.78,88.62,5.93,121.55,5.93,-0.12881,-0.56100,-0.00638,-0.00825,-0.00519,-0.05306,0.00112,0.38,0.03,9.31
100,-188.10,59.30,-0.15,107.45,-0.15,-0.11938,-0.56100,-0.00448,0.04518,-0.00513,0.00135,0.00022,-1.93,0.19,9.69
100,-142.72,44.65,-6.07,93.61,-6.07,-0.08796,0.26180,-0.00302,0.03464,-0.00280,0.05551,-0.00179,-5.19,-0.13,11.25
100,439.69,37.32,-5.86,78.81,-5.86,-0.06597,0.78540,-0.00325,-0.00529,-0.00043,0.05653,0.00290,2.44,-0.81,8.79
100,-150.70,33.66,-6.26,70.36,-6.26,-0.05184,0.48620,-0.00232,0.02207,0.00214,0.06113,-0.00179,0.01,-0.65,9.72
100,-428.76,31.82,-3.35,61.76,-3.35,-0.04084,0.29920,-0.00205,0.00646,0.00344,0.03094,-0.00112,0.94,-0.28,8.47
100,527.62,30.91,-3.71,51.46,-3.71,-0.02827,0.26180,-0.00155,0.01189,0.00486,0.03371,-0.00022,-0.72,-0.18,10.13
100,-182.60,30.45,-4.34,48.97,-4.34,-0.02199,0.33660,-0.00129,0.00624,0.00632,0.03482,0.00045,0.07,-0.07,10.08
100,-232.15,30.22,-0.78,44.10,-0.78,-0.02042,0.11494,-0.00144,-0.00383,0.00657,0.00599,-0.00136,1.58,0.11,9.37
100,582.98,30.11,-2.39,38.86,-2.39,-0.01414,0.03653,-0.00089,0.01292,0.00727,0.01631,-0.00024,-0.47,-0.22,9.82
100,800.78,120.04,-1.79,48.60,-1.79,-0.01728,0.14960,-0.00094,-0.00127,0.00776,0.01178,0.00023,1.04,0.14,9.92
100,800.78,135.02,4.49,66.82,4.49,-0.02827,-0.07480,-0.00197,-0.02438,0.00644,-0.03141,-0.00022,1.61,0.18,10.10
100,-287.62,82.51,7.70,86.56,7.70,-0.05184,-0.29224,-0.00367,-0.03957,0.00364,-0.06506,0.00134,0.04,-1.24,11.66
100,498.64,116.26,8.05,83.33,8.05,-0.07226,-0.56100,-0.00495,-0.03051,0.00040,-0.07714,0.00156,1.41,1.06,7.81
100,800.78,133.14,-2.22,81.85,-2.22,-0.06754,-0.44880,-0.00249,0.05848,0.00133,0.02213,-0.00067,-7.77,-0.21,5.03
100,800.78,81.56,0.05,93.62,0.05,-0.07226,0.11220,-0.00289,-0.00958,0.00131,-0.00054,-0.00201,2.34,-0.55,11.09
100,-800.78,55.78,5.11,105.40,5.11,-0.08796,-0.14960,-0.00453,-0.03894,-0.00083,-0.05100,0.00022,0.52,-0.68,13.02
100,-800.78,42.89,4.59,90.13,4.59,-0.09111,-0.34481,-0.00520,-0.01639,-0.00263,-0.04395,0.00119,-0.58,0.23,8.81
100,800.78,36.44,-6.94,65.94,-6.94,-0.05184,-0.03491,-0.00211,0.06870,0.00046,0.06874,-0.00197,-5.40,-1.12,9.47
100,107.86,33.22,-9.30,65.31,-9.30,-0.02356,0.97240,-0.00155,0.01342,0.00420,0.08915,0.00558,-3.99,0.83,11.15
100,800.78,91.62,0.17,60.24,0.17,-0.03142,0.63580,-0.00384,-0.05451,0.00414,-0.00158,-0.00179,9.16,-0.36,6.51
100,800.78,120.81,-2.33,64.82,-2.33,-0.03770,-0.22440,-0.00219,0.03928,0.00501,0.02068,-0.00246,-0.50,-0.06,8.47
100,800.78,75.40,2.37,78.57,2.37,-0.04712,-0.14960,-0.00254,-0.00841,0.00412,-0.02109,-0.00045,0.66,-0.08,11.78
100,-800.78,52.70,5.92,85.50,5.92,-0.06440,-0.22440,-0.00412,-0.03759,0.00175,-0.05643,0.00041,1.31,-0.22,11.57
100,800.78,101.36,2.05,70.52,2.05,-0.05812,-0.40183,-0.00354,0.01381,0.00092,-0.01977,0.00115,-1.05,0.26,8.80
100,800.78,125.68,-6.21,73.05,-6.21,-0.04712,0.18700,-0.00169,0.04399,0.00341,0.05932,-0.00134,-4.95,0.44,10.24
100,800.78,77.84,1.52,84.89,1.52,-0.05812,0.22440,-0.00307,-0.03283,0.00280,-0.01449,0.00022,7.16,0.34,6.80
100,618.39,113.93,5.11,100.09,5.11,-0.08011,-0.29920,-0.00415,-0.02567,0.00069,-0.05024,0.00045,0.63,-0.49,11.84
100,83.03,140.99,6.61,108.53,6.61,-0.10210,-0.52360,-0.00504,-0.02126,-0.00197,-0.06342,0.00134,1.29,2.45,8.99
100,800.78,145.50,3.08,111.81,3.08,-0.11467,-0.53637,-0.00451,0.01287,-0.00319,-0.02969,0.00008,-0.71,0.22,8.45
100,638.25,147.76,1.57,123.70,1.57,-0.12409,-0.29224,-0.00416,0.00828,-0.00382,-0.01467,-0.00142,-1.96,-0.25,10.91
100,-65.90,148.89,5.26,131.10,5.26,-0.13823,-0.22440,-0.00529,-0.02703,-0.00571,-0.04510,-0.00041,1.00,0.28,8.50
100,800.78,149.45,2.82,132.88,2.82,-0.14765,-0.34481,-0.00504,0.00608,-0.00658,-0.02120,0.00074,-0.39,-0.44,8.64
100,-800.78,89.72,0.90,138.37,0.90,-0.15237,-0.18265,-0.00471,0.00763,-0.00687,-0.00669,-0.00095,-1.42,0.11,11.44
