CONTROLLER_FLAG,SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
100,-96.69,47.59,3.49,77.76,3.49,-0.07854,0.03740,-0.00337,-0.03754,0.00058,-0.03455,-0.00357,3.56,-1.72,14.06
100,800.78,98.80,-4.24,69.94,-4.24,-0.06283,-0.18700,-0.00102,0.05616,0.00231,0.04116,0.00085,-10.31,-0.16,5.42
100,144.90,64.40,-2.59,79.34,-2.59,-0.06283,0.40183,-0.00135,-0.00791,0.00337,0.02534,0.00137,4.77,2.20,8.01
100,800.78,107.21,4.06,77.26,4.06,-0.07383,-0.03740,-0.00286,-0.03605,0.00173,-0.03917,-0.00223,3.35,-1.41,15.35
100,457.40,68.60,-1.27,82.01,-1.27,-0.07540,-0.26180,-0.00145,0.03357,0.00225,0.01244,0.00134,-9.43,-0.18,4.61
100,800.78,109.31,2.36,83.09,2.36,-0.07854,-0.07480,-0.00218,-0.01724,0.00127,-0.02326,-0.00112,1.66,0.76,4.94
100,800.78,129.66,0.17,89.21,0.17,-0.08325,-0.03831,-0.00212,0.00136,0.00120,-0.00171,-0.00022,-2.89,-0.28,10.79
100,800.78,139.84,2.80,101.80,2.80,-0.08954,-0.10959,-0.00294,-0.01916,0.00000,-0.02791,0.00042,1.29,1.27,9.52
100,-800.78,84.91,5.54,111.85,5.54,-0.10524,-0.18700,-0.00457,-0.03874,-0.00225,-0.05362,0.00046,1.89,-0.69,8.70
100,800.78,117.46,3.61,98.71,3.61,-0.11467,-0.33660,-0.00485,-0.00666,-0.00365,-0.03333,0.00089,0.64,1.73,8.05
100,-223.46,73.73,-5.46,102.46,-5.46,-0.11153,-0.18700,-0.00203,0.06709,-0.00144,0.05269,-0.00089,-11.62,-2.60,10.05
100,-800.78,40.93,1.93,93.06,1.93,-0.10681,0.00000,-0.00283,-0.01893,-0.00224,-0.01899,-0.00112,7.05,2.14,4.23
