SL_PWM,U,SL_position,SL_speed,ARM_position,Distance,Sprung_acceleration_x
0.00,90.00,0.00,0.00,0.00000,0.00000,10.06
696.00,90.00,0.01,0.00,0.00000,0.00000,0.04
696.00,90.00,0.24,0.00,0.00000,14.76120,0.04
696.00,90.00,0.52,0.48,0.00000,14.76120,-0.02
696.00,90.00,0.80,1.06,0.00000,14.76120,0.03
696.00,90.00,1.69,1.06,0.00000,14.76120,0.03
696.00,90.00,2.33,1.84,0.00000,14.76120,0.10
723.00,90.00,2.89,2.20,0.00000,14.76120,0.30
723.00,90.00,4.31,2.20,0.00000,14.76120,0.30
723.00,90.00,5.28,2.96,0.00000,14.76120,0.30
723.00,90.00,6.13,3.26,0.00000,14.76120,-0.04
723.00,90.00,7.92,3.26,0.00000,14.74400,-0.04
-14.00,90.00,9.09,3.85,-0.09000,14.76120,0.04
-14.00,90.00,10.11,3.82,-0.09000,14.76120,-0.20
-14.00,90.00,11.84,3.82,-0.09000,14.76120,-0.20
-14.00,90.00,12.83,3.70,-0.09000,14.76120,-0.41
-14.00,90.00,13.61,3.08,-0.09000,14.76120,0.14
-14.00,90.00,14.98,3.08,-0.09000,14.76120,0.14
-382.00,90.00,15.69,2.86,-0.09000,14.74400,0.38
-382.00,90.00,16.23,2.20,-0.18000,14.74400,0.71
-382.00,90.00,17.13,2.20,-0.18000,14.74400,0.71
-382.00,90.00,17.55,1.85,-0.18000,14.74400,0.34
-382.00,90.00,17.81,1.21,-0.27000,14.74400,0.89
-382.00,90.00,18.20,1.21,-0.27000,14.74400,0.89
-566.00,90.00,18.29,0.78,-0.27000,14.74400,0.34
-566.00,90.00,18.27,0.09,-0.27000,14.74400,0.03
-566.00,90.00,18.02,0.09,-0.36000,14.76120,0.03
-566.00,90.00,17.81,-0.52,-0.36000,14.40000,-0.34
-566.00,90.00,17.63,-0.73,-0.36000,14.40000,-0.70
-566.00,90.00,17.11,-0.73,-0.36000,14.40000,-0.70
92.00,90.00,16.80,-1.05,-0.36000,14.40000,-0.87
92.00,90.00,16.56,-1.02,-0.36000,14.40000,-0.71
92.00,90.00,16.03,-1.02,-0.36000,14.40000,-0.71
92.00,90.00,15.76,-1.06,-0.36000,14.40000,-0.03
92.00,90.00,15.55,-0.86,-0.36000,14.40000,0.19
92.00,90.00,15.13,-0.86,-0.36000,14.40000,0.19
-329.00,90.00,14.90,-0.86,-0.36000,14.40000,0.07
-329.00,90.00,14.74,-0.71,-0.36000,14.40000,-0.15
-329.00,90.00,14.34,-0.71,-0.36000,14.40000,-0.15
-329.00,90.00,14.13,-0.80,-0.36000,14.40000,-0.03
-329.00,90.00,13.98,-0.66,-0.36000,14.40000,0.08
-329.00,90.00,13.61,-0.66,-0.27000,14.40000,0.08
-540.00,90.00,13.39,-0.73,-0.27000,14.40000,0.05
