CONTROLLER_FLAG,SL_PWM,U,Motor_speed,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
100,0.00,0.00,0.00,0.00,0.00,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,10.00,0.20,-0.76
100,800.78,145.70,0.00,8.60,0.00,0.00000,0.00000,-0.00000,-0.00000,0.01000,0.00395,0.00004,-0.07,-0.03,9.75
100,800.78,145.70,4.12,31.90,4.12,-0.00314,0.00000,-0.00015,-0.00351,0.00984,-0.00365,-0.00231,0.22,0.24,10.83
100,800.78,147.86,9.83,59.70,9.83,-0.01100,-0.10710,-0.00131,-0.02627,0.00822,-0.03685,0.00061,2.15,0.74,7.16
100,800.78,147.86,11.04,85.21,11.04,-0.02827,-0.17850,-0.00415,-0.06468,0.00463,-0.08175,0.00041,4.29,-0.66,10.88
100,800.78,147.86,10.18,106.89,10.18,-0.05812,-0.43836,-0.00671,-0.05942,0.00046,-0.09694,0.00152,3.61,-1.08,10.01
100,800.78,88.92,8.68,127.10,8.68,-0.09739,-0.69407,-0.00792,-0.02829,-0.00321,-0.08517,0.00163,0.31,-2.23,11.86
100,-800.78,88.92,8.39,140.14,8.39,-0.14294,-0.91325,-0.00784,0.00199,-0.00629,-0.07172,0.00140,1.41,2.98,7.94
100,-800.78,88.92,4.54,123.41,4.54,-0.15865,-1.04720,-0.00569,0.05125,-0.00763,-0.03199,0.00036,-0.10,0.08,11.11
100,800.78,59.46,-7.68,97.75,-7.68,-0.11467,-0.28560,-0.00228,0.07736,-0.00510,0.05767,-0.00413,-7.71,1.12,11.60
100,-308.88,59.46,-9.96,95.02,-9.96,-0.07226,1.12200,-0.00203,0.00608,-0.00119,0.09309,0.00500,-7.21,1.29,4.50
100,284.00,59.46,-0.83,83.82,-0.83,-0.07383,0.89760,-0.00467,-0.06305,-0.00085,0.00802,-0.00134,9.44,-3.37,5.09
100,-240.85,44.72,-5.29,77.49,-5.29,-0.06597,0.00000,-0.00251,0.05045,0.00132,0.05046,-0.00524,-5.93,1.13,6.02
100,-50.27,44.72,-2.08,68.22,-2.08,-0.05498,0.14960,-0.00215,0.00839,0.00218,0.02048,0.00089,1.30,0.88,10.69
100,492.13,44.72,-4.42,61.80,-4.42,-0.03927,0.26180,-0.00133,0.01966,0.00391,0.04109,0.00089,-3.03,-0.46,10.85
100,800.78,97.37,-2.10,66.72,-2.10,-0.04241,0.37400,-0.00183,-0.01207,0.00470,0.01891,0.00022,4.48,1.59,8.84
100,42.42,97.37,2.30,78.33,2.30,-0.05655,-0.07480,-0.00244,-0.01440,0.00383,-0.02076,-0.00156,0.93,-1.29,11.10
100,668.14,63.68,4.73,80.31,4.73,-0.06597,-0.37400,-0.00304,-0.01436,0.00193,-0.04524,0.00179,-0.11,0.32,9.69
100,-399.91,63.68,0.65,79.33,0.65,-0.06597,-0.19156,-0.00267,0.00920,0.00167,-0.00636,-0.00112,-3.30,-0.79,9.76
100,-134.42,63.68,-0.53,74.62,-0.53,-0.06283,0.00000,-0.00244,0.00516,0.00189,0.00517,-0.00112,-0.17,0.33,9.28
100,425.60,46.84,-2.03,69.58,-2.03,-0.05498,0.07480,-0.00187,0.01362,0.00272,0.01972,0.00045,-0.87,0.06,9.73
