SL_PWM,U,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
-105.00000,0.00000,1.07854,-70.94763,-0.08796,0.26180,0.00213,0.00257,0.00469,0.02338,0.01095,-2.02499,0.03952,-0.23112
460.00000,0.00000,1.04251,-36.12832,-0.08482,0.26180,0.00220,-0.00920,0.00501,0.01173,0.01095,-0.65264,-0.04670,0.06826
460.00000,0.00000,1.05991,28.27433,-0.08482,0.00000,0.00211,-0.00916,0.00493,-0.00913,0.00000,-0.06826,-0.10658,0.25986
460.00000,0.00000,1.09903,50.00368,-0.08639,-0.26180,0.00189,0.00443,0.00459,-0.01647,0.01095,0.55564,0.14969,-0.13053
460.00000,0.00000,1.14575,52.09808,-0.08796,0.00000,0.00160,-0.01761,0.00417,-0.01756,-0.01095,0.19400,-0.03114,0.22513
460.00000,0.00000,1.18616,47.38569,-0.09111,0.00000,0.00144,-0.01634,0.00376,-0.01629,-0.01095,0.19400,0.08383,0.01677
742.00000,0.00000,1.22359,46.07669,-0.09268,0.00000,0.00128,-0.01607,0.00348,-0.01603,-0.01095,0.30057,0.14969,-0.25746
742.00000,0.00000,1.27830,59.42846,-0.09739,0.00000,0.00107,-0.02116,0.00289,-0.02111,-0.01095,0.42631,-0.20717,0.19400
742.00000,0.00000,1.33214,70.94763,-0.10367,-0.26180,0.00104,-0.00509,0.00237,-0.02557,0.00000,0.38440,-0.19998,-0.12215
742.00000,0.00000,1.39667,81.15781,-0.10838,-0.26180,0.00078,-0.00927,0.00186,-0.02968,0.00000,0.38081,-0.05149,-0.26225
742.00000,0.00000,1.46750,89.01179,-0.11467,-0.26180,0.00051,-0.01264,0.00111,-0.03294,-0.00000,0.25028,-0.14250,0.16885
-142.00000,0.00000,1.55071,60.99926,-0.12252,-0.26180,0.00034,0.00627,0.00021,-0.01391,-0.00000,0.19998,0.07544,-0.14370
-142.00000,0.00000,1.56175,-9.94838,-0.12566,0.00000,0.00046,0.00379,0.00009,0.00380,0.00000,-0.51014,0.06347,-0.07544
