SL_PWM,U,SL_position,SL_speed,ARM_position,ARM_speed,Deflection,Deflection_speed,Zlin_position,Zlin_speed,Unsprung_acceleration,Sprung_acceleration_x,Sprung_acceleration_y,Sprung_acceleration_z
-450.00000,0.00000,-0.11194,-124.09291,0.00314,0.00000,-0.00019,-0.00364,0.00995,-0.00375,-0.01095,-0.96400,-0.10179,0.08263
-738.00000,0.00000,-0.23369,-154.19984,0.00785,0.26180,-0.00097,-0.03577,0.00973,-0.01217,0.00274,-0.12334,-0.09820,0.18322
-738.00000,0.00000,-0.36496,-144.51326,0.01100,0.22440,-0.00163,-0.01545,0.00935,-0.01580,-0.01126,1.04662,0.20717,-0.13652
-738.00000,0.00000,-0.49436,-174.62019,0.01257,0.00000,-0.00210,-0.02812,0.00888,-0.02881,0.00000,0.79754,-0.15089,0.37362
-738.00000,0.00000,-0.62598,-140.32447,0.01257,0.00000,-0.00296,-0.02890,0.00815,-0.02959,0.00000,-0.04551,0.11376,-0.27064
-738.00000,0.00000,-0.76981,-168.07521,0.01257,0.00000,-0.00384,-0.04131,0.00724,-0.04224,0.00000,0.37362,-0.20956,0.24309
-881.00000,0.00000,-0.88443,-119.64232,0.01100,0.00000,-0.00457,-0.03328,0.00635,-0.03398,0.00000,0.12215,-0.09700,-0.03952
-881.00000,0.00000,-0.96449,-91.62979,0.00942,-0.26180,-0.00495,-0.00244,0.00581,-0.02759,0.01095,0.08622,0.06467,-0.11017
-881.00000,0.00000,-1.04221,-90.58259,0.00942,0.00000,-0.00564,-0.02835,0.00511,-0.02886,0.00000,0.08981,-0.05748,0.06467
-881.00000,0.00000,-1.10096,-63.87905,0.00785,0.00000,-0.00603,-0.02071,0.00456,-0.02106,0.00000,0.08981,-0.08981,0.12933
-881.00000,0.00000,-1.16665,-62.04645,0.00628,0.00000,-0.00649,-0.02083,0.00394,-0.02114,0.00000,0.19160,0.10778,-0.17484
-953.00000,0.00000,-1.21372,-58.11946,0.00314,0.00000,-0.00663,-0.01991,0.00350,-0.02019,-0.01095,0.19759,0.01078,0.04910
-953.00000,0.00000,-1.23556,-16.68971,0.00157,-0.19635,-0.00668,0.01271,0.00329,-0.00585,0.00616,-0.31734,-0.11257,0.03233
-953.00000,0.00000,-1.23159,8.90118,0.00157,0.00000,-0.00665,0.00308,0.00333,0.00312,0.00000,-0.26345,-0.03712,-0.12095
-953.00000,0.00000,-1.21798,18.32596,0.00314,0.00000,-0.00656,0.00632,0.00342,0.00641,0.00000,-0.14011,-0.02994,0.02275
-953.00000,0.00000,-1.19848,23.03835,0.00314,0.00000,-0.00651,0.00797,0.00362,0.00808,0.00000,-0.08622,0.01677,-0.03712
35.00000,0.00000,-1.17337,25.13274,0.00314,0.00000,-0.00630,0.00851,0.00383,0.00864,0.00000,-0.02156,-0.01198,0.02275
35.00000,0.00000,-1.15065,26.44174,0.00314,0.00000,-0.00608,0.00894,0.00406,0.00909,0.00000,-0.00479,-0.01557,0.03233
35.00000,0.00000,-1.12572,28.53613,0.00471,0.00000,-0.00599,0.00944,0.00429,0.00960,-0.01095,-0.01317,0.02515,-0.06946
35.00000,0.00000,-1.10125,28.53613,0.00471,0.00000,-0.00582,0.00935,0.00447,0.00950,0.00000,-0.01317,-0.03233,0.01796
35.00000,0.00000,-1.07678,28.79793,0.00471,0.00000,-0.00559,0.00930,0.00471,0.00946,0.00000,-0.01557,-0.01677,-0.01916
-495.00000,0.00000,-1.05389,26.17994,0.00628,0.00000,-0.00552,0.00825,0.00493,0.00840,-0.01095,0.01078,-0.01916,-0.00838
-495.00000,0.00000,-1.03369,20.94395,0.00628,0.00000,-0.00533,0.00657,0.00511,0.00670,0.00000,-0.00120,-0.03952,0.03712
-495.00000,0.00000,-1.01675,19.89675,0.00628,0.00000,-0.00521,0.00627,0.00524,0.00639,0.00000,-0.01078,0.00240,-0.01916
-495.00000,0.00000,-1.00192,14.92257,0.00628,0.00000,-0.00508,0.00459,0.00537,0.00468,0.00000,0.01198,-0.01796,0.05509
-495.00000,0.00000,-0.99702,0.78540,0.00628,0.00000,-0.00503,0.00024,0.00543,0.00025,0.00000,0.00479,0.00719,0.01437
264.00000,0.00000,-0.99585,0.52360,0.00628,0.00000,-0.00503,0.00016,0.00543,0.00016,0.00000,0.02754,-0.00719,0.01916
264.00000,0.00000,-0.97138,37.69911,0.00785,0.00000,-0.00486,0.01150,0.00560,0.01173,0.00000,-0.00120,-0.02036,-0.01198
264.00000,0.00000,-0.92373,61.78466,0.00785,0.00000,-0.00467,0.01819,0.00594,0.01857,0.00000,-0.05868,-0.03353,-0.06467
264.00000,0.00000,-0.85582,79.06342,0.00942,0.00000,-0.00432,0.02214,0.00645,0.02262,-0.01095,-0.08981,-0.07185,0.06586
264.00000,0.00000,-0.76134,94.77138,0.01100,0.00000,-0.00375,0.02430,0.00718,0.02485,-0.01095,-0.16406,-0.04072,-0.00599
644.00000,0.00000,-0.68070,116.76253,0.01257,0.26180,-0.00333,0.00279,0.00776,0.02788,0.01095,0.04910,-0.06826,0.03114
644.00000,0.00000,-0.55001,169.64600,0.01257,0.00000,-0.00275,0.03476,0.00836,0.03559,0.00000,0.14490,-0.04072,0.11017
644.00000,0.00000,-0.33022,227.50367,0.01257,0.00000,-0.00174,0.03048,0.00939,0.03113,0.00000,0.21555,0.19519,-0.39877
644.00000,0.00000,-0.06604,248.44762,0.00785,0.00000,-0.00074,0.00983,0.00997,0.00988,-0.01095,0.68138,0.08742,0.08622
644.00000,0.00000,0.16181,241.64083,0.00000,-0.26180,-0.00009,0.01364,0.00990,-0.01015,-0.01095,1.05022,-0.18801,0.28740
834.00000,0.00000,0.37903,236.40485,-0.00785,-0.52360,0.00011,0.01894,0.00940,-0.02787,0.01095,1.09452,-0.17603,-0.00120
834.00000,0.00000,0.58844,233.52505,-0.01728,-0.26180,-0.00010,-0.02041,0.00849,-0.04399,-0.01095,0.33051,-0.37003,-0.00240
834.00000,0.00000,0.79690,224.36208,-0.02827,-0.78540,-0.00037,0.01177,0.00725,-0.05598,0.01095,0.34728,-0.53768,0.40236
834.00000,0.00000,0.98989,206.82152,-0.04084,-0.78540,-0.00085,0.00494,0.00582,-0.06164,-0.01095,0.61672,-0.34488,0.14011
834.00000,0.00000,1.16770,183.78317,-0.05498,-0.78540,-0.00129,0.00250,0.00395,-0.06229,0.01095,0.75802,-0.21196,0.36524
-96.00000,0.00000,1.28472,120.42772,-0.06912,-0.52360,-0.00134,0.00006,0.00300,-0.04252,-0.00000,0.43709,0.33890,-0.33890
-96.00000,0.00000,1.31252,14.13717,-0.08168,-0.52360,-0.00065,0.03679,0.00255,-0.00517,-0.00000,-0.33051,-0.18442,0.30297
-96.00000,0.00000,1.29179,-34.03392,-0.09111,-0.52360,0.00041,0.05379,0.00273,0.01218,-0.00000,-1.12686,-0.21914,0.10299
-96.00000,0.00000,1.24864,-55.23967,-0.09739,-0.26180,0.00110,0.04044,0.00305,0.01969,-0.00000,-1.44899,-0.04191,-0.15448
-96.00000,0.00000,1.18797,-73.56563,-0.09739,0.26180,0.00180,0.00508,0.00362,0.02566,0.01095,-1.91961,0.00240,-0.12334
-560.00000,0.00000,1.12297,-80.11061,-0.09425,0.26180,0.00219,0.00632,0.00426,0.02697,0.01095,-1.59628,-0.01557,-0.03952
-560.00000,0.00000,1.05004,-88.74999,-0.08954,0.26180,0.00253,0.00805,0.00496,0.02880,0.01095,-0.60953,-0.05149,0.21435
-560.00000,0.00000,0.95334,-126.44910,-0.08168,0.52360,0.00265,-0.00251,0.00559,0.03935,0.01095,-1.19272,0.03832,-0.11736
-560.00000,0.00000,0.83246,-156.81783,-0.06912,0.52360,0.00263,0.00129,0.00671,0.04389,0.00000,-1.69687,-0.02395,0.00599
-560.00000,0.00000,0.68817,-135.87388,-0.05341,0.52360,0.00237,-0.01014,0.00762,0.03330,0.00000,-1.42384,-0.22992,0.42631
